date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,4.4,4.99,1.83,1.85,12579500.0
2020-04-17,2.13,2.13,2.03,2.055,58754.0
2020-04-16,2.02,2.1999,2.0,2.03,91178.0
2020-04-15,2.3,2.32,1.93,2.15,190425.0
2020-04-14,1.9,2.3,1.8,2.18,504155.0
2020-04-13,1.9,1.9,1.6419,1.722,87276.0
2020-04-09,2.0,2.1553,1.7414,1.87,68435.0
2020-04-08,2.25,2.4,1.71,2.0,90901.0
2020-04-07,3.95,3.95,2.21,2.68,131174.0
2020-04-06,3.15,4.7031,2.75,3.88,22112.0
2020-04-03,5.6,5.6,2.1,2.7,34846.0
2020-04-02,5.1,5.1,5.1,5.1,38.0
2020-04-01,5.1,5.1,5.1,5.1,15.0
2020-03-31,5.1,5.1,5.1,5.1,97.0
2020-03-30,5.1,5.1,5.1,5.1,24.0
2020-03-27,5.59,5.59,5.1,5.1,613.0
2020-03-26,5.0,5.0,5.0,5.0,0.0
2020-03-25,5.0,5.0,5.0,5.0,77.0
2020-03-24,5.0,5.0,5.0,5.0,31.0
2020-03-23,4.33,5.0,4.205,5.0,1021.0
2020-03-20,5.06,5.06,4.8,4.8,1198.0
2020-03-19,7.49,7.49,7.49,7.49,63.0
2020-03-18,7.49,7.49,7.49,7.49,4.0
2020-03-17,7.49,7.49,7.49,7.49,176.0
2020-03-16,7.13,7.49,7.13,7.49,406.0
2020-03-13,9.9,9.9,9.9,9.9,300.0
2020-03-12,9.9,9.9,8.92,9.03,2350.0
2020-03-11,11.0,11.0,11.0,11.0,200.0
2020-03-10,11.25,11.25,11.25,11.25,0.0
2020-03-09,11.25,11.25,11.25,11.25,57.0
2020-03-06,11.25,11.25,11.25,11.25,0.0
2020-03-05,11.25,11.25,11.25,11.25,0.0
2020-03-04,11.25,11.25,11.25,11.25,0.0
2020-03-03,11.25,11.25,11.25,11.25,0.0
2020-03-02,11.25,11.25,11.25,11.25,6.0
2020-02-28,11.25,11.25,11.25,11.25,0.0
2020-02-27,11.25,11.25,11.25,11.25,300.0
2020-02-26,10.9,10.9,10.9,10.9,103.0
2020-02-25,9.927,9.927,9.927,9.927,0.0
2020-02-24,9.9,9.9274,9.2177,9.9274,1511.0
2020-02-21,10.788,10.788,10.788,10.788,0.0
2020-02-20,10.788,10.788,10.788,10.788,0.0
2020-02-19,10.788,10.788,10.788,10.788,0.0
2020-02-18,10.85,10.85,10.7879,10.7879,6814.0
2020-02-14,10.538,10.538,10.538,10.538,0.0
2020-02-13,10.538,10.538,10.538,10.538,0.0
2020-02-12,10.538,10.538,10.538,10.538,0.0
2020-02-11,10.5378,10.5378,10.5378,10.5378,3.0
2020-02-10,10.5378,10.5378,10.5378,10.5378,187.0
2020-02-07,10.5,10.5,10.5,10.5,0.0
2020-02-06,10.5,10.5,10.5,10.5,0.0
2020-02-05,10.5,10.5,10.5,10.5,20.0
2020-02-04,10.5,10.5,10.5,10.5,0.0
2020-02-03,10.5,10.5,10.5,10.5,182.0
2020-01-31,10.5,10.5,10.5,10.5,0.0
2020-01-30,10.5,10.5,10.5,10.5,121.0
2020-01-29,10.501,10.501,10.501,10.501,0.0
2020-01-28,10.501,10.501,10.501,10.501,3.0
2020-01-27,10.501,10.501,10.501,10.501,301.0
2020-01-24,10.05,10.05,10.05,10.05,98.0
2020-01-23,10.05,10.05,10.05,10.05,0.0
2020-01-22,10.05,10.05,10.05,10.05,0.0
2020-01-21,10.05,10.05,10.05,10.05,1.0
2020-01-17,10.05,10.05,10.05,10.05,12.0
2020-01-16,10.05,10.05,10.05,10.05,0.0
2020-01-15,10.05,10.05,10.05,10.05,0.0
2020-01-14,10.05,10.05,10.05,10.05,101.0
2020-01-13,8.805,8.805,8.805,8.805,3.0
2020-01-10,8.805,8.805,8.805,8.805,98.0
2020-01-09,8.805,8.805,8.805,8.805,0.0
2020-01-08,8.805,8.805,8.805,8.805,0.0
2020-01-07,8.805,8.805,8.805,8.805,0.0
2020-01-06,8.805,8.805,8.805,8.805,122.0
2020-01-03,10.637,10.637,10.637,10.637,0.0
2020-01-02,10.637,10.637,10.637,10.637,0.0
2019-12-31,10.6369,10.6369,10.6369,10.6369,300.0
2019-12-30,10.75,10.75,10.2,10.2,201.0
2019-12-27,9.4,9.4,9.4,9.4,1.0
2019-12-26,9.4,9.4,9.4,9.4,110.0
2019-12-24,10.25,10.25,10.25,10.25,0.0
2019-12-23,10.25,10.25,10.25,10.25,98.0
2019-12-20,10.25,10.25,10.25,10.25,1451.0
2019-12-19,10.55,10.55,10.55,10.55,0.0
2019-12-18,10.55,10.55,10.55,10.55,0.0
2019-12-17,10.55,10.55,10.55,10.55,0.0
2019-12-16,10.55,10.55,10.55,10.55,1.0
2019-12-13,10.55,10.55,10.55,10.55,0.0
2019-12-12,10.55,10.55,10.55,10.55,0.0
2019-12-11,10.55,10.55,10.55,10.55,210.0
2019-12-10,10.83,11.21,10.82,11.21,2372.0
2019-12-09,10.3,10.3,10.3,10.3,1.0
2019-12-06,10.3,10.3,10.3,10.3,0.0
2019-12-05,10.3,10.3,10.3,10.3,0.0
2019-12-04,10.3,10.3,10.3,10.3,0.0
2019-12-03,10.3,10.3,10.3,10.3,0.0
2019-12-02,10.3,10.3,10.3,10.3,0.0
2019-11-29,10.3,10.3,10.3,10.3,0.0
2019-11-27,10.3,10.3,10.3,10.3,0.0
2019-11-26,10.3,10.3,10.3,10.3,50.0
2019-11-25,10.3,10.3,10.3,10.3,0.0
2019-11-22,10.3,10.3,10.3,10.3,121.0
2019-11-21,10.83,10.83,10.83,10.83,0.0
2019-11-20,10.83,10.83,10.83,10.83,0.0
2019-11-19,10.83,10.83,10.83,10.83,0.0
2019-11-18,10.83,10.83,10.83,10.83,3.0
2019-11-15,10.83,10.83,10.83,10.83,0.0
2019-11-14,10.83,10.83,10.83,10.83,0.0
2019-11-13,10.83,10.83,10.83,10.83,0.0
2019-11-12,10.83,10.83,10.83,10.83,0.0
2019-11-11,10.83,10.83,10.83,10.83,63.0
2019-11-08,10.83,10.83,10.83,10.83,2.0
2019-11-07,10.83,10.83,10.83,10.83,0.0
2019-11-06,10.83,10.83,10.83,10.83,1.0
2019-11-05,10.83,10.83,10.83,10.83,0.0
2019-11-04,10.83,10.83,10.83,10.83,0.0
2019-11-01,10.83,10.83,10.83,10.83,655.0
2019-10-31,10.35,10.35,10.35,10.35,1272.0
2019-10-30,10.83,10.83,10.6106,10.6106,1036.0
2019-10-29,10.83,10.83,10.83,10.83,1338.0
2019-10-28,10.83,10.83,10.83,10.83,1740.0
2019-10-25,10.32,10.32,10.32,10.32,1.0
2019-10-24,10.31,10.32,10.31,10.32,300.0
2019-10-23,10.3,10.3,10.3,10.3,0.0
2019-10-22,10.3,10.3,10.3,10.3,125423.0
2019-10-21,10.3,10.3,10.3,10.3,7.0
2019-10-18,10.3,10.3,10.3,10.3,0.0
2019-10-17,10.3,10.3,10.3,10.3,0.0
2019-10-16,10.3,10.3,10.3,10.3,0.0
2019-10-15,10.3,10.3,10.3,10.3,0.0
2019-10-14,10.29,10.3,10.29,10.3,4141.0
2019-10-11,10.215,10.3,10.215,10.3,400.0
2019-10-10,10.0201,10.3,10.0201,10.3,3685.0
2019-10-09,10.01,10.05,10.01,10.05,692.0
2019-10-08,10.02,10.02,10.02,10.02,0.0
2019-10-07,10.02,10.02,10.02,10.02,0.0
2019-10-04,10.19,10.19,10.02,10.02,725.0
2019-10-03,10.03,10.04,10.01,10.01,6187.0
2019-10-02,10.0727,10.0727,10.07,10.07,3964.0
2019-10-01,10.159,10.159,10.159,10.159,0.0
2019-09-30,10.159,10.159,10.159,10.159,0.0
2019-09-27,10.159,10.159,10.159,10.159,0.0
2019-09-26,10.159,10.159,10.159,10.159,0.0
2019-09-25,10.159,10.159,10.159,10.159,0.0
2019-09-24,10.159,10.159,10.159,10.159,0.0
2019-09-23,10.1593,10.1593,10.1593,10.1593,100.0
2019-09-20,10.33,10.33,10.33,10.33,192.0
2019-09-19,10.33,10.33,10.33,10.33,130.0
2019-09-18,10.331,10.331,10.331,10.331,0.0
2019-09-17,10.331,10.331,10.331,10.331,0.0
2019-09-16,10.3311,10.3311,10.3311,10.3311,59.0
2019-09-13,10.3311,10.3311,10.3311,10.3311,105.0
2019-09-12,10.3311,10.3311,10.3311,10.3311,116.0
2019-09-11,8.06,8.06,8.06,8.06,0.0
2019-09-10,8.06,8.06,8.06,8.06,0.0
2019-09-09,8.06,8.06,8.06,8.06,0.0
2019-09-06,8.06,8.06,8.06,8.06,0.0
2019-09-05,8.06,8.06,8.06,8.06,50.0
2019-09-04,8.06,8.06,8.06,8.06,100.0
2019-09-03,10.25,10.25,10.25,10.25,0.0
2019-08-30,10.25,10.25,10.25,10.25,0.0
2019-08-29,10.25,10.25,10.25,10.25,6.0
2019-08-28,10.0,10.25,10.0,10.25,1473.0
2019-08-27,10.15,10.38,9.5,9.5,826.0
2019-08-26,10.3201,10.3201,10.3201,10.3201,400.0
2019-08-23,10.32,10.32,10.32,10.32,0.0
2019-08-22,10.3201,10.3201,10.3201,10.3201,176.0
2019-08-21,10.32,10.32,10.32,10.32,0.0
2019-08-20,10.3201,10.3201,10.3201,10.3201,55.0
2019-08-19,10.3201,10.3201,10.3201,10.3201,157.0
2019-08-16,10.32,10.32,10.32,10.32,587.0
2019-08-15,10.38,10.38,10.38,10.38,20.0
2019-08-14,10.38,10.38,10.38,10.38,157.0
2019-08-13,10.31,10.31,10.31,10.31,500.0
2019-08-12,9.95,10.31,9.95,10.31,400.0
2019-08-09,9.95,10.31,9.95,10.31,374.0
2019-08-08,10.3692,10.3692,10.3692,10.3692,10.0
