date,1. open,2. high,3. low,4. close,5. volume
2018-02-22,0.055,0.055,0.055,0.055,0.0
2018-01-30,0.08,0.08,0.06,0.08,55000.0
2018-01-29,0.065,0.065,0.065,0.065,0.0
2018-01-26,0.065,0.065,0.065,0.065,15000.0
2018-01-25,0.09,0.09,0.09,0.09,0.0
2018-01-24,0.09,0.09,0.09,0.09,0.0
2018-01-23,0.07,0.09,0.07,0.09,103291.0
2018-01-22,0.07,0.07,0.07,0.07,11000.0
2018-01-19,0.055,0.055,0.055,0.055,0.0
2018-01-18,0.055,0.055,0.055,0.055,2000.0
2018-01-17,0.055,0.055,0.055,0.055,29000.0
2018-01-16,0.055,0.055,0.055,0.055,53000.0
2018-01-12,0.05,0.05,0.05,0.05,30000.0
2018-01-11,0.05,0.05,0.05,0.05,0.0
2018-01-10,0.05,0.05,0.05,0.05,0.0
2018-01-09,0.05,0.05,0.05,0.05,0.0
2018-01-08,0.05,0.05,0.05,0.05,0.0
2018-01-05,0.05,0.05,0.05,0.05,10000.0
2018-01-04,0.055,0.055,0.055,0.055,54000.0
2018-01-03,0.055,0.055,0.055,0.055,0.0
2018-01-02,0.055,0.055,0.055,0.055,40000.0
2017-12-29,0.045,0.05,0.045,0.05,41014.0
2017-12-28,0.055,0.06,0.055,0.06,232000.0
2017-12-27,0.055,0.055,0.05,0.05,29000.0
2017-12-26,0.055,0.055,0.055,0.055,0.0
2017-12-22,0.055,0.055,0.055,0.055,50450.0
2017-12-21,0.04,0.04,0.04,0.04,0.0
2017-12-20,0.04,0.04,0.04,0.04,0.0
2017-12-19,0.04,0.04,0.04,0.04,0.0
2017-12-18,0.04,0.04,0.04,0.04,0.0
2017-12-15,0.04,0.04,0.04,0.04,0.0
2017-12-14,0.04,0.04,0.04,0.04,0.0
2017-12-13,0.05,0.05,0.04,0.04,67000.0
2017-12-12,0.055,0.055,0.055,0.055,25000.0
2017-12-11,0.045,0.045,0.045,0.045,0.0
2017-12-08,0.045,0.045,0.045,0.045,0.0
2017-12-07,0.045,0.045,0.045,0.045,0.0
2017-12-06,0.045,0.045,0.045,0.045,22000.0
2017-12-05,0.04,0.045,0.04,0.045,20000.0
2017-12-04,0.035,0.035,0.035,0.035,1306.0
2017-12-01,0.035,0.035,0.035,0.035,0.0
2017-11-30,0.035,0.035,0.035,0.035,0.0
2017-11-29,0.035,0.035,0.035,0.035,0.0
2017-11-28,0.035,0.035,0.035,0.035,20000.0
2017-11-27,0.045,0.045,0.045,0.045,0.0
2017-11-24,0.045,0.045,0.045,0.045,4000.0
2017-11-22,0.04,0.04,0.04,0.04,0.0
2017-11-21,0.04,0.04,0.04,0.04,0.0
2017-11-20,0.04,0.04,0.04,0.04,4000.0
2017-11-17,0.04,0.04,0.04,0.04,2000.0
2017-11-16,0.04,0.04,0.04,0.04,0.0
2017-11-15,0.04,0.04,0.04,0.04,0.0
2017-11-14,0.04,0.04,0.04,0.04,0.0
2017-11-13,0.04,0.04,0.04,0.04,0.0
2017-11-10,0.045,0.045,0.04,0.04,87000.0
2017-11-09,0.04,0.04,0.04,0.04,0.0
2017-11-08,0.04,0.04,0.04,0.04,0.0
2017-11-07,0.04,0.04,0.04,0.04,0.0
2017-11-06,0.04,0.04,0.04,0.04,0.0
2017-11-03,0.04,0.04,0.04,0.04,0.0
2017-11-02,0.04,0.04,0.04,0.04,0.0
2017-11-01,0.04,0.04,0.04,0.04,0.0
2017-10-31,0.04,0.04,0.04,0.04,0.0
2017-10-30,0.04,0.04,0.04,0.04,0.0
2017-10-27,0.04,0.04,0.04,0.04,0.0
