date,1. open,2. high,3. low,4. close,5. volume
2020-04-21,23.6,24.0,23.5,23.6,61900.0
2020-04-20,24.05,25.0,23.0,24.05,116800.0
2020-04-17,24.25,24.3,24.0,24.25,56600.0
2020-04-16,24.3,24.3,24.3,24.3,21600.0
2020-04-15,24.3,24.3,24.3,24.3,22400.0
2020-04-14,24.3,25.0,24.0,24.3,13300.0
2020-04-13,24.5,24.5,24.5,24.5,0.0
2020-04-09,24.5,25.5,24.0,24.5,72100.0
2020-04-08,25.0,25.0,24.75,25.0,20900.0
2020-04-07,25.0,27.0,25.0,25.0,175000.0
2020-04-06,25.25,27.0,25.0,25.25,68600.0
2020-04-03,24.55,25.0,24.0,24.55,2500.0
2020-04-02,24.0,25.0,23.6,24.0,143700.0
2020-04-01,24.55,25.0,24.5,24.55,21200.0
2020-03-31,24.3,25.0,24.0,24.3,17600.0
2020-03-30,24.6,25.0,24.05,24.6,6300.0
2020-03-27,24.25,25.0,23.5,24.25,5200.0
2020-03-26,23.55,25.0,22.1,23.55,14700.0
2020-03-25,23.95,24.0,23.0,23.95,2800.0
2020-03-24,24.45,25.0,23.0,24.45,24400.0
2020-03-23,25.05,25.5,24.5,25.05,9300.0
2020-03-20,24.6,26.0,22.0,24.6,12500.0
2020-03-19,24.3,25.55,22.7,24.3,43800.0
2020-03-18,25.2,26.5,25.0,25.2,40900.0
2020-03-17,25.55,28.2,25.05,25.55,73500.0
2020-03-16,26.5,28.0,26.0,26.5,29700.0
2020-03-13,27.15,28.15,26.0,27.15,26900.0
2020-03-12,28.15,29.0,27.05,28.15,11800.0
2020-03-11,28.2,29.0,27.0,28.2,3800.0
2020-03-10,28.05,29.45,28.0,28.05,68800.0
2020-03-09,29.25,30.0,29.0,29.25,11500.0
2020-03-06,30.0,30.0,29.5,30.0,41200.0
2020-03-05,30.0,30.0,29.5,30.0,41200.0
2020-03-04,29.95,30.0,29.5,29.95,19300.0
2020-03-03,29.85,30.0,29.5,29.85,18200.0
2020-03-02,27.5,30.0,27.0,27.5,5900.0
